売上日,売上金額
2023-01-01,53219
2023-01-02,50096
2023-01-03,42495
2023-01-04,402136
2023-01-05,194496
2023-01-06,69894
2023-01-07,49944
2023-01-08,195920
2023-01-09,34768
2023-01-10,39440
2023-01-11,129240
2023-01-12,202725
2023-01-13,280287
2023-01-14,204510
2023-01-15,42670
2023-01-16,65341
2023-01-17,102727
2023-01-18,69160
2023-01-19,34025
2023-01-20,280770
2023-01-21,223380
2023-01-22,113640
2023-01-23,32085
2023-01-24,196608
2023-01-25,102795
2023-01-26,66123
2023-01-27,104516
2023-01-28,47664
2023-01-29,278057
2023-01-30,49875
2023-01-31,31794
2023-02-01,325800
2023-02-02,168388
2023-02-03,172939
2023-02-04,200564
2023-02-05,187312
2023-02-06,380960
2023-02-07,40090
2023-02-08,16596
2023-02-09,359352
2023-02-10,244352
2023-02-11,204553
2023-02-12,281152
2023-02-13,45120
2023-02-14,378955
2023-02-15,21486
2023-02-16,195936
2023-02-17,48162
2023-02-18,76856
2023-02-19,135800
2023-02-20,90872
2023-02-21,41171
2023-02-22,61545
2023-02-23,144880
2023-02-24,69069
2023-02-25,66492
2023-02-26,133346
2023-02-27,255528
2023-02-28,367629
2023-03-01,345436
2023-03-02,240534
2023-03-03,190260
2023-03-04,144092
2023-03-05,139593
2023-03-06,340473
2023-03-07,44334
2023-03-08,139750
2023-03-09,155722
2023-03-10,189952
2023-03-11,71714
2023-03-12,305235
2023-03-13,224160
2023-03-14,68034
2023-03-15,96578
2023-03-16,119455
2023-03-17,174384
2023-03-18,104412
2023-03-19,173550
2023-03-20,182160
2023-03-21,56700
2023-03-22,17226
2023-03-23,40176
2023-03-24,129048
2023-03-25,101480
2023-03-26,66747
2023-03-27,65576
2023-03-28,463044
2023-03-29,14553
2023-03-30,71962
2023-03-31,311388
2023-04-01,90332
2023-04-02,42600
2023-04-03,368220
2023-04-04,50320
2023-04-05,117898
2023-04-06,133848
2023-04-07,92382
2023-04-08,313128
2023-04-09,311406
2023-04-10,149850
2023-04-11,135344
2023-04-12,197449
2023-04-13,77228
2023-04-14,100814
2023-04-15,272498
2023-04-16,77028
2023-04-17,201650
2023-04-18,113685
2023-04-19,347526
2023-04-20,63042
2023-04-21,329148
2023-04-22,116292
2023-04-23,64032
2023-04-24,113710
2023-04-25,85568
2023-04-26,273524
2023-04-27,145684
2023-04-28,319813
2023-04-29,285642
2023-04-30,278696
2023-05-01,188354
2023-05-02,205212
2023-05-03,93975
2023-05-04,340676
2023-05-05,28490
2023-05-06,201264
2023-05-07,145545
2023-05-08,317452
2023-05-09,34370
2023-05-10,385236
2023-05-11,40704
2023-05-12,146878
2023-05-13,135072
2023-05-14,72298
2023-05-15,41730
2023-05-16,103680
2023-05-17,150729
2023-05-18,229250
2023-05-19,264248
2023-05-20,275968
2023-05-21,74022
2023-05-22,303738
2023-05-23,48008
2023-05-24,47994
2023-05-25,8000
2023-05-26,32304
2023-05-27,117100
2023-05-28,25155
2023-05-29,5130
2023-05-30,137376
2023-05-31,221340
2023-06-01,29268
2023-06-02,232180
2023-06-03,140341
2023-06-04,58457
2023-06-05,87153
2023-06-06,169806
2023-06-07,349325
2023-06-08,117065
2023-06-09,184140
2023-06-10,110216
2023-06-11,165094
2023-06-12,74256
2023-06-13,96080
2023-06-14,12864
2023-06-15,129430
2023-06-16,35436
2023-06-17,86457
2023-06-18,414048
2023-06-19,176080
2023-06-20,118157
2023-06-21,293728
2023-06-22,211410
2023-06-23,316350
2023-06-24,89397
2023-06-25,178848
2023-06-26,233126
2023-06-27,226149
2023-06-28,64422
2023-06-29,229344
2023-06-30,83754
2023-07-01,12568
2023-07-02,77444
2023-07-03,107487
2023-07-04,27140
2023-07-05,434700
2023-07-06,118503
2023-07-07,338760
2023-07-08,104082
2023-07-09,314880
2023-07-10,146370
2023-07-11,171930
2023-07-12,24360
2023-07-13,260425
2023-07-14,212112
2023-07-15,36324
2023-07-16,119595
2023-07-17,221400
2023-07-18,42732
2023-07-19,222055
2023-07-20,146319
2023-07-21,85077
2023-07-22,14196
2023-07-23,206325
2023-07-24,21957
2023-07-25,77292
2023-07-26,345230
2023-07-27,43220
2023-07-28,116200
2023-07-29,55689
2023-07-30,81191
2023-07-31,245916
2023-08-01,85440
2023-08-02,101710
2023-08-03,148096
2023-08-04,25380
2023-08-05,116754
2023-08-06,17367
2023-08-07,131308
2023-08-08,1938
2023-08-09,13444
2023-08-10,137280
2023-08-11,49014
2023-08-12,59940
2023-08-13,146064
2023-08-14,276769
